Time,E1_D,E1_T,E1_V,E1_N,E2_D,E2_T,E2_V,E2_N,E3_D,E3_T,E3_V,E3_N,E4_D,E4_T,E4_V,E4_N,E5_D,E5_T,E5_V,E5_N,E6_D,E6_T,E6_V,E6_N,E7_D,E7_T,E7_V,E7_N,off_R1_D,off_R1_T,off_R1_V,off_R1_N,off_R2_D,off_R2_T,off_R2_V,off_R2_N,off_R3_D,off_R3_T,off_R3_V,off_R3_N,off_R4_D,off_R4_T,off_R4_V,off_R4_N,on_R1_D,on_R1_T,on_R1_V,on_R1_N,on_R2_D,on_R2_T,on_R2_V,on_R2_N,on_R3_D,on_R3_T,on_R3_V,on_R3_N,on_R4_D,on_R4_T,on_R4_V,on_R4_N,on_R5_D,on_R5_T,on_R5_V,on_R5_N,on_R6_D,on_R6_T,on_R6_V,on_R6_N
10000,0.176174807555358,0.1766666666666665,0.997215891822782,2.0,0.3564215655719693,0.5666666666666664,0.6289792333622991,5.0,0.2213518808606221,0.506666666666666,0.4368787122249127,5.0,0.2692916040579536,0.4766666666666661,0.5649474211006028,4.0,0.4478856560775191,0.7266666666666675,0.6163564074461265,7.0,0.2967648168379529,0.4399999999999995,0.6744654928135303,8.0,0.4356951297646249,0.9600000000000022,0.4538490935048166,8.0,0.0,0.0,0.0,0.0,0.058774370020559,0.1733333333333332,0.3390829039647636,2.0,0.0670255765288925,0.6666666666666671,0.1005383647933387,4.0,0.0131296695022985,0.0366666666666666,0.358081895517233,1.0,0.09365516504,0.3466666666666663,0.2701591299230774,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0842508496817355,0.333333333333333,0.2527525490452069,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.11433717153303741,0.11666666666666656,0.961839141594187,1.5,0.32063128785956535,0.44166666666666643,0.7642385800714049,5.0,0.3215656527090588,0.6100000000000001,0.514079139680794,5.5,0.16134061961311755,0.2749999999999997,0.6464939503340389,4.0,0.3675480923716005,0.6316666666666668,0.5757656527904691,6.0,0.35204472917999763,0.5199999999999998,0.6766699476751339,6.5,0.37057094164734405,0.7733333333333343,0.4872484844200759,8.0,0.0,0.0,0.0,0.0,0.09468937131813335,0.2533333333333331,0.3654480109059436,2.0,0.0684788867490715,0.7450000000000009,0.0927381279245542,4.5,0.00656483475114925,0.0183333333333333,0.1790409477586165,0.5,0.0909882079356941,0.4133333333333328,0.22708086791090154,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051833038193330405,0.333333333333333,0.15549911457999155,2.0,0.00217610248550515,0.0183333333333333,0.059348249604687,0.5,0.0,0.0,0.0,0.0
30000,0.07622478102202494,0.07777777777777771,0.6412260943961247,1.0,0.23994122405264207,0.32333333333333314,0.8116504499404068,4.0,0.31002028873623994,0.6311111111111113,0.48476376347891326,5.333333333333333,0.16656101456566888,0.2555555555555553,0.7033064353059313,3.6666666666666665,0.297566877320109,0.5077777777777778,0.5859007521386795,5.333333333333333,0.2976251006260196,0.5166666666666663,0.5745027386579741,5.666666666666667,0.34738039254888636,0.6722222222222226,0.5383069997920872,6.666666666666667,0.0,0.0,0.0,0.0,0.09204901079607992,0.30888888888888855,0.3124957292960046,2.6666666666666665,0.0555655411748755,0.7744444444444456,0.07372095862696286,4.666666666666667,0.004376556500766167,0.012222222222222199,0.11936063183907768,0.3333333333333333,0.08967425801231053,0.44222222222222163,0.20941815071763004,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03490245068762223,0.333333333333333,0.10470735206286697,2.0,0.003890196536805833,0.0233333333333333,0.1127493461305308,0.6666666666666666,0.0,0.0,0.0,0.0
40000,0.057168585766518704,0.05833333333333328,0.4809195707970935,0.75,0.21362796340409196,0.3091666666666665,0.7350080075725943,3.5,0.25701214322294247,0.5466666666666666,0.4470850726231481,4.75,0.1523020516558406,0.24916666666666643,0.6465289166167917,3.25,0.2571944871103272,0.43916666666666665,0.5852226889050618,4.75,0.2449038202367876,0.5299999999999997,0.4689209044623804,5.25,0.29039446950629744,0.546666666666667,0.5793724562830812,5.5,0.012635325769096525,0.03416666666666665,0.09245360318851115,0.25,0.12131241196454662,0.37416666666666637,0.32608347042373453,3.0,0.0544523863721382,0.7808333333333345,0.0712635070839491,4.75,0.003282417375574625,0.00916666666666665,0.08952047387930825,0.25,0.08668181478576625,0.4266666666666661,0.2081849848185735,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03138384244987653,0.32916666666666633,0.09497368594449719,2.0,0.002917647402604375,0.017499999999999974,0.0845620095978981,0.5,0.0,0.0,0.0,0.0
50000,0.04573486861321496,0.04666666666666662,0.38473565663767484,0.6,0.17135421474042165,0.2806666666666665,0.5907174701609639,3.0,0.21498902878806794,0.5146666666666666,0.38192490519260647,4.6,0.12823807212258304,0.26599999999999974,0.5364124256871651,3.0,0.21737311726467484,0.4266666666666666,0.49902114468974784,4.4,0.2134707700116032,0.5573333333333331,0.40145829430316393,5.0,0.2327632096095289,0.4380000000000003,0.59778816637375,4.6,0.02211958537088706,0.05599999999999998,0.1577628227062265,0.4,0.11838283202089328,0.399333333333333,0.30353258123749965,3.0,0.04919078793466396,0.7913333333333346,0.06376546027150334,4.8,0.0026259339004597,0.007333333333333319,0.0716163791034466,0.2,0.08524751105473062,0.4413333333333327,0.1983521063070941,3.4,0.005961226229431521,0.01733333333333332,0.06878337957036385,0.4,0.0,0.0,0.0,0.0,0.03368749414574778,0.2879999999999997,0.1455499232354348,1.8,0.0026517648851034,0.0153333333333333,0.11529665213130584,0.6,0.0,0.0,0.0,0.0
60000,0.055298457853360315,0.06222222222222217,0.44337067107197564,0.8333333333333334,0.1554632215769612,0.2616666666666665,0.568272814227129,2.6666666666666665,0.19204240476236709,0.5583333333333335,0.3348607295704902,4.666666666666667,0.10724253620600853,0.2772222222222219,0.44814278305087224,2.8333333333333335,0.1839389796293214,0.43888888888888866,0.421440384392308,4.166666666666667,0.18306296005360503,0.5544444444444442,0.3441238595315299,4.833333333333333,0.19396934134127408,0.3650000000000002,0.4981568053114583,3.8333333333333335,0.01843298780907255,0.046666666666666655,0.13146901892185542,0.3333333333333333,0.098743489113412,0.41611111111111065,0.25312607588991826,3.0,0.047332626339940315,0.8100000000000014,0.0601566692360293,5.0,0.0021882782503830833,0.006111111111111099,0.05968031591953884,0.16666666666666666,0.07201265937604119,0.425555555555555,0.16810034547190245,3.3333333333333335,0.00750691125492825,0.02277777777777777,0.10810393758334291,0.5,0.0,0.0,0.0,0.0,0.028072911788123153,0.23999999999999977,0.12129160269619567,1.5,0.008081869086356082,0.0333333333333333,0.1436918814057542,0.8333333333333334,0.0012064921478183834,0.005,0.040216404927279535,0.16666666666666666
70000,0.10010688112438709,0.13111111111111107,0.4028813973448789,1.6666666666666667,0.1252730110003444,0.2044444444444443,0.5942491376062499,2.3333333333333335,0.19188449599478327,0.624444444444445,0.3027126345296441,4.833333333333333,0.06532157262100803,0.24388888888888863,0.3646871822738344,2.5,0.12013077657644057,0.38888888888888845,0.34411917498471173,3.6666666666666665,0.1345595038537774,0.5588888888888887,0.23376440107653218,4.0,0.12135348638050326,0.20499999999999985,0.42251528972732216,2.5,0.01843298780907255,0.046666666666666655,0.13146901892185542,0.3333333333333333,0.0889580378654312,0.46611111111111053,0.19663397072185,3.1666666666666665,0.056373213059290946,0.864444444444446,0.0637474390039733,5.5,0.0,0.0,0.0,0.0,0.05640346520270786,0.4199999999999995,0.12307382381805622,3.1666666666666665,0.00750691125492825,0.02277777777777777,0.10810393758334291,0.5,0.0,0.0,0.0,0.0,0.014031103507833901,0.18444444444444427,0.07916617785532785,1.1666666666666667,0.012106660499659116,0.043888888888888845,0.20724121951053917,1.0,0.0012064921478183834,0.005,0.040216404927279535,0.16666666666666666
80000,0.15134400138502357,0.20444444444444432,0.36925027968144225,2.6666666666666665,0.17649112145331225,0.27555555555555555,0.5771018014234669,2.6666666666666665,0.1815442232813674,0.6516666666666674,0.27255725450819557,5.166666666666667,0.07766761122426967,0.27444444444444416,0.32611714571465666,2.3333333333333335,0.10836814825821939,0.359444444444444,0.35521722842351866,3.5,0.09349540317833349,0.5794444444444443,0.1577016252626625,4.166666666666667,0.07044569412549274,0.10722222222222211,0.33574064383809965,1.1666666666666667,0.01843298780907255,0.046666666666666655,0.13146901892185542,0.3333333333333333,0.07618472322356755,0.4899999999999994,0.1502004853806135,3.5,0.0664809189190785,0.8894444444444461,0.0719504443978705,5.666666666666667,0.0,0.0,0.0,0.0,0.041683256730809824,0.39555555555555505,0.09240672283493528,3.0,0.00750691125492825,0.02277777777777777,0.10810393758334291,0.5,0.0,0.0,0.0,0.0,0.010795232390346349,0.12888888888888875,0.06945856450286515,0.8333333333333334,0.013003984685985117,0.04222222222222218,0.24830940769834955,1.1666666666666667,0.0012064921478183834,0.005,0.040216404927279535,0.16666666666666666
90000,0.19707032089457402,0.2649999999999998,0.49510253521231523,3.3333333333333335,0.26348594917293605,0.3822222222222224,0.5637590227362099,3.6666666666666665,0.22688741072901422,0.6833333333333343,0.30944795963977884,6.0,0.08265130754444173,0.30944444444444413,0.2707837796281692,2.6666666666666665,0.11101865964247526,0.3516666666666662,0.3897414831197477,3.1666666666666665,0.13542911599574758,0.6477777777777781,0.1757873617570076,4.666666666666667,0.03634570183749922,0.058333333333333286,0.31994607958900906,1.0,0.01843298780907255,0.046666666666666655,0.13146901892185542,0.3333333333333333,0.07341856781811985,0.45777777777777723,0.16736521063210738,3.3333333333333335,0.06981637503393921,0.8616666666666682,0.07844057107148573,5.5,0.0,0.0,0.0,0.0,0.02877290941631634,0.3677777777777773,0.06818340725237873,2.6666666666666665,0.00750691125492825,0.02277777777777777,0.10810393758334291,0.5,0.004325753073895517,0.012777777777777768,0.0564228661812459,0.16666666666666666,0.010621686444312035,0.07333333333333326,0.06893792666476219,0.5,0.0136089296907884,0.043888888888888845,0.25382538707141694,1.3333333333333333,0.0012064921478183834,0.005,0.040216404927279535,0.16666666666666666
100000,0.26217439507049006,0.35055555555555523,0.6219286537368272,4.0,0.31559708691145627,0.4133333333333334,0.6440476622252586,4.333333333333333,0.30840264322119476,0.7677777777777789,0.37608127247133094,7.0,0.12530609018048375,0.3666666666666663,0.2976543063803884,3.6666666666666665,0.11862060212013288,0.3677777777777773,0.384305506659919,3.5,0.17297189007661903,0.6494444444444447,0.24007899694852272,4.833333333333333,0.08945852315601766,0.153888888888889,0.3010830305182243,1.6666666666666667,0.010009437296341532,0.023888888888888887,0.06983328346284799,0.16666666666666666,0.06970535970863484,0.4422222222222217,0.17154695052665384,3.1666666666666665,0.06521568916563829,0.839444444444446,0.07366924735086461,5.333333333333333,0.0,0.0,0.0,0.0,0.0215716971188589,0.37499999999999956,0.04768407199253407,2.5,0.00750691125492825,0.02277777777777777,0.10810393758334291,0.5,0.009950204624903534,0.03166666666666665,0.10605037986661085,0.5,0.007150350154872133,0.02055555555555555,0.05797581206653088,0.16666666666666666,0.017408062571773367,0.05944444444444439,0.2945303822248273,1.6666666666666667,0.0012064921478183834,0.005,0.040216404927279535,0.16666666666666666
