Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
90000,0,0,12,7,6
,2,0,0,0,5,0,0,0,0,0,0,0
100000,5,8,18,8,13,11,0,1,1,0,0,0,1,0,0,0,0
110000,12,12,13,13,10,10,12,1,4,1,0,0,0,0,0,0,0
120000,10,14,12,11,13,9,12,0,4,3,0,0,0,0,0,0,0
130000,0,13,16,8,11,8,13,0,2,4,0,3,0,0,0,0,0
140000,1,0,11,4,8,8,12,3,2,2,0,4,0,0,0,0,0
150000,1,3,1,0,1,2,5,4,5,2,0,3,0,1,5,0,0
160000,7,0,0,0,1,0,0,1,1,4,0,0,0,1,3,4,3
170000,13,2,2,2,1,0,0,0,0,0,0,0,0,0,3,3,2
180000,14,14,10,15,10,0,0,0,1,2,0,0,0,0,0,0,0
190000,11,16,18,7,16,9,0,0,3,0,0,0,0,0,0,0,0
200000,10,13,14,16,10,12,10,2,3,2,0,0,0,0,0,0,0
210000,9,10,11,13,13,6,11,0,4,1,0,0,0,0,1,0,0
220000,0,9,10,10,15,11,12,1,0,7,0,3,0,0,0,0,0
230000,0,1,6,4,10,11,10,1,2,2,0,4,0,0,0,0,0
240000,1,1,0,0,0,4,4,2,3,2,0,10,0,0,5,1,0
250000,9,0,0,0,2,0,0,3,0,1,0,1,0,0,4,4,2
260000,10,7,2,5,2,0,0,6,0,2,0,0,0,0,0,1,3
270000,11,13,12,4,8,1,0,3,0,2,0,0,0,0,0,0,1
280000,8,13,13,10,6,10,0,0,1,1,0,0,0,0,0,0,0
290000,15,7,12,10,11,7,10,0,4,0,0,0,0,0,0,0,0
300000,13,10,8,9,14,11,14,0,1,1,0,0,0,0,0,0,0
310000,0,15,11,7,5,9,12,2,2,4,0,5,0,0,0,0,0
320000,0,1,8,6,8,4,10,1,2,3,0,5,0,0,0,0,0
330000,1,0,0,0,0,5,5,4,1,3,0,4,1,1,6,1,1
340000,9,1,0,0,1,0,0,3,0,0,0,0,0,0,6,3,3
350000,17,8,1,1,1,1,0,4,0,0,0,0,0,0,3,3,0
360000,14,11,14,8,9,0,0,2,2,4,0,0,0,0,0,0,0
370000,16,16,13,8,14,12,0,4,3,0,0,0,0,0,0,0,0
380000,14,14,16,12,14,10,7,3,5,0,0,0,0,0,0,0,0
390000,7,16,15,13,15,11,12,0,2,2,0,0,0,0,0,0,0
400000,1,8,16,13,13,8,11,0,2,5,0,2,0,0,0,0,0
410000,0,1,2,4,8,13,10,2,4,3,0,7,0,0,0,0,0
420000,2,0,0,0,0,6,6,1,2,1,0,5,0,1,7,0,1
430000,5,1,0,0,1,0,0,3,0,0,0,2,0,0,6,2,4
440000,18,5,1,2,3,0,0,4,0,0,0,0,0,0,0,5,3
450000,15,13,8,7,12,1,0,3,0,1,0,0,0,0,0,1,0
460000,12,18,18,4,12,9,0,3,3,2,0,0,0,0,0,0,0
470000,7,14,21,14,4,13,12,2,4,1,0,0,0,0,0,0,0
480000,5,9,16,12,11,4,18,0,2,0,0,0,0,0,0,0,0
490000,0,5,11,12,11,5,12,1,0,5,0,2,0,0,0,0,0
500000,1,0,2,6,14,7,5,2,4,3,0,7,0,0,1,0,0
510000,0,0,0,0,0,8,1,2,2,0,0,6,0,1,4,0,0
520000,9,0,0,0,2,0,0,4,0,0,0,0,0,2,0,2,4
530000,13,5,1,4,0,0,0,2,0,0,0,0,0,0,2,2,3
540000,16,11,7,11,13,0,0,4,0,1,0,0,0,0,0,1,0
550000,8,17,15,9,12,13,0,0,2,1,1,0,0,0,0,0,0
560000,10,13,12,12,8,10,12,0,2,3,0,0,0,0,0,0,0
570000,8,10,13,8,15,7,16,1,0,2,0,0,0,0,0,0,0
580000,0,10,14,8,12,6,9,1,5,3,0,4,0,0,0,0,0
590000,0,1,6,6,7,9,7,1,2,5,0,7,0,0,0,0,0
600000,0,0,0,0,0,5,5,4,3,3,0,5,0,2,6,0,0
610000,11,1,0,0,2,0,0,3,0,0,0,2,0,1,2,4,3
620000,14,5,3,5,3,0,0,3,0,0,0,0,0,0,0,3,0
630000,9,17,10,8,9,1,0,3,0,4,0,0,0,0,0,0,0
640000,9,10,18,9,11,7,0,4,4,3,0,0,0,0,0,0,0
650000,14,8,14,16,10,10,11,1,3,1,0,0,0,0,0,0,0
660000,11,12,8,10,14,7,11,1,1,1,0,0,0,0,0,0,0
670000,0,11,10,8,12,11,10,1,0,4,0,5,0,0,0,0,0
680000,0,1,6,4,5,9,13,2,1,2,1,6,0,0,0,0,0
690000,0,1,1,0,0,6,7,5,2,1,0,1,0,1,4,1,0
700000,10,1,0,0,1,0,0,2,1,0,0,0,0,0,0,4,4
710000,13,6,1,1,0,0,0,2,0,2,0,0,0,0,1,4,2
720000,12,15,12,7,9,0,0,0,1,3,0,0,0,0,0,0,0
730000,13,15,15,6,8,5,2,0,3,1,0,1,0,0,0,0,0
740000,12,14,19,11,5,7,10,1,2,1,0,0,0,0,0,0,0
750000,13,14,17,16,10,7,8,1,1,0,0,0,0,0,0,0,0
760000,0,8,11,15,15,8,9,1,4,4,0,3,0,0,0,0,0
770000,0,1,5,6,11,7,8,2,3,0,0,7,0,0,1,0,0
780000,0,0,0,1,0,6,4,4,2,1,0,3,0,2,5,0,0
